farm_id,crop_type,county,irrigation_type,cooperative_member,farm_size_acres,years_farming_experience,num_workers_employed,rainfall_mm,soil_quality_score,market_distance_km,machinery_value_kes,fertilizer_spend_kes,pesticide_spend_kes,irrigation_maintenance_cost_kes,annual_farm_income_kes
1,Tea,Uasin Gishu,Drip,No,7.26,10.0,1,1345.0,,5.7,31304.0,22569.0,11598.0,20609.323556846746,240514.0
2,Tea,Nakuru,Drip,No,15.73,39.8,4,739.0,38.0002994834873,11.3,156636.0,52716.0,13887.0,2849.9056045357866,562457.0
3,Tea,Uasin Gishu,None,No,7.75,3.3,2,1101.0,57.1360483278569,29.3,15966.0,28291.0,10697.0,,176021.0
4,Coffee,Nakuru,None,No,3.9,30.6,1,831.0,73.59345948517493,14.1,29920.0,16108.0,5383.0,,283876.0
5,Tea,Kericho,Manual,No,10.49,9.3,1,967.0,54.49854862175642,6.0,115136.0,28664.0,4486.0,3207.3552237769172,242651.0
6,Tea,Nakuru,Automated,Yes,3.73,6.2,1,903.0,93.73175161867879,18.7,35386.0,9607.0,1231.0,10881.637797904934,357526.0
7,Maize,Nakuru,Drip,No,19.38,20.9,4,1092.0,44.295982290983815,14.7,126636.0,71071.0,30506.0,9817.088324300661,201521.0
8,Tea,Kericho,None,No,1.31,14.5,0,943.0,49.58555459702882,4.9,13899.0,3239.0,1985.0,,212389.0
9,Maize,Nakuru,None,Yes,5.45,15.9,0,959.0,66.70132469604012,17.0,48979.0,17581.0,5309.0,,210943.0
10,Maize,Meru,None,Yes,12.91,8.9,3,741.0,36.63235394096145,4.2,104188.0,41849.0,17101.0,,168628.0
11,Maize,Kiambu,Manual,Yes,11.76,3.4,4,747.0,40.39463373533042,38.6,112265.0,31142.0,21046.0,5214.695730616814,163532.0
12,Dairy,Meru,None,No,3.6,21.1,1,1109.0,66.51081446375827,21.8,42288.0,14815.0,6842.0,,177320.0
13,Horticulture,Uasin Gishu,Drip,No,6.35,12.0,2,730.0,32.971840450992225,10.4,79677.0,7288.0,8605.0,12324.223630265986,364514.0
14,Coffee,Kericho,Manual,No,5.9,13.5,1,986.0,67.77822648258828,6.7,41906.0,21976.0,9236.0,5568.217111252064,166446.0
15,Maize,Kiambu,Drip,Yes,4.8,8.5,1,1087.0,52.40727815789515,3.8,26715.0,15850.0,5949.0,12548.785235057161,309023.0
16,Tea,Uasin Gishu,Drip,Yes,11.33,8.6,5,779.0,63.041970748337974,4.7,127145.0,20347.0,29853.0,20510.17132333074,262551.0
17,Tea,Kericho,Manual,No,9.31,15.8,5,951.0,28.70495625399961,23.4,89377.0,42580.0,18903.0,2035.7968700933725,235116.0
18,Maize,Other,Automated,No,11.91,15.6,3,680.0,50.03720606154019,7.3,105830.0,20013.0,20327.0,9198.851502965716,217646.0
19,Tea,Nakuru,None,Yes,14.5,9.1,5,1010.0,,2.9,49825.0,34264.0,26883.0,,127321.0
20,Tea,Other,Manual,Yes,3.06,11.2,1,1079.0,82.93229941113226,16.4,22902.0,9709.0,5505.0,18264.290756854443,193432.0
21,Tea,Uasin Gishu,None,Yes,1.43,5.8,0,1004.0,57.15929412821714,22.3,25224.0,4109.0,1784.0,,121353.0
22,Horticulture,Meru,Automated,No,1.34,18.4,0,1035.0,,13.5,4690.0,5026.0,1127.0,9386.150603926137,247606.0
23,Tea,Uasin Gishu,Manual,Yes,12.0,6.4,5,809.0,54.342599103597884,10.6,81081.0,25413.0,15492.0,3748.5250044624545,168221.0
24,Tea,Uasin Gishu,Manual,Yes,8.22,8.9,4,973.0,54.68098885280805,5.7,75752.0,33279.0,8114.0,2858.883037544586,362091.0
25,Tea,Kiambu,Drip,No,2.74,11.4,0,1175.0,,30.9,22623.0,6289.0,2897.0,12278.547862095807,278977.0
26,Dairy,Other,Drip,Yes,1.85,26.3,2,943.0,,17.3,24668.0,8643.0,3665.0,19150.510297358494,345476.0
27,Horticulture,Kiambu,Automated,Yes,8.34,8.6,5,1034.0,67.86892291248147,11.3,52019.0,22303.0,10978.0,16314.043475393717,291156.0
28,Maize,Kericho,Manual,Yes,9.11,19.6,1,924.0,98.02104597542746,8.4,78829.0,33502.0,10714.0,8430.743077529298,305082.0
29,Tea,Nakuru,None,Yes,21.2,5.9,5,1302.0,68.2453630494771,12.0,222349.0,72064.0,37512.0,,336329.0
30,Dairy,Kericho,Manual,No,21.98,13.8,5,782.0,,42.2,260509.0,25773.0,21598.0,11588.886909326973,176994.0
31,Horticulture,Other,None,No,21.2,18.7,7,870.0,64.63985962113685,11.5,205735.0,95636.0,28185.0,,249461.0
32,Maize,Kericho,Automated,No,10.88,12.4,3,934.0,76.45952238062794,6.3,101366.0,23431.0,15097.0,8153.477250866461,513721.0
33,Dairy,Kericho,None,No,8.62,13.4,2,1271.0,57.55460057673674,15.3,104507.0,21069.0,12607.0,,127626.0
34,Coffee,Kiambu,None,No,11.21,2.2,2,965.0,70.45413029082319,1.9,93785.0,39318.0,18790.0,,121806.0
35,Maize,Other,None,No,4.73,4.8,1,633.0,62.40561539973179,7.5,94328.0,14890.0,7708.0,,64544.0
36,Maize,Kericho,Automated,No,3.14,25.5,0,836.0,49.90249611723693,25.3,10554.0,11121.0,3426.0,3113.384091364773,356047.0
37,Tea,Kiambu,Manual,Yes,0.68,14.2,0,986.0,78.86941387027866,7.7,1917.0,1811.0,299.0,8001.141574021163,178702.0
38,Horticulture,Kericho,None,Yes,7.81,6.3,0,811.0,30.492934322527674,19.8,76058.0,35606.0,8811.0,,174276.0
39,Tea,Kericho,Automated,No,5.55,12.6,0,945.0,74.41445399355726,28.1,57886.0,18650.0,6217.0,18258.676950960784,474624.0
40,Coffee,Kericho,Automated,Yes,5.35,21.3,1,1211.0,39.84053166351572,8.9,82735.0,20185.0,6412.0,13633.736274811752,598487.0
41,Maize,Kericho,Drip,Yes,2.29,3.9,0,1096.0,63.50770296653438,26.4,15071.0,6932.0,2625.0,3265.761640283644,208379.0
42,Coffee,Kericho,None,Yes,5.57,17.2,0,1140.0,85.51252851436908,5.5,64990.0,21360.0,7831.0,,381244.0
43,Maize,Other,Manual,Yes,8.63,11.3,2,730.0,53.35866667732971,4.2,91725.0,35300.0,2051.0,10611.13873438104,128815.0
44,Tea,Nakuru,Manual,No,8.06,11.4,0,1094.0,66.51373089600898,11.7,48459.0,23553.0,10024.0,5662.387935067549,228430.0
45,Horticulture,Nakuru,Drip,Yes,13.69,8.9,4,763.0,88.58281367048052,7.1,121077.0,43363.0,15920.0,16148.570518527544,282536.0
46,Tea,Kericho,None,Yes,5.24,8.8,1,1170.0,58.30328218637831,7.1,9489.0,15588.0,7100.0,,370085.0
47,Coffee,Nakuru,Drip,Yes,2.21,28.4,0,950.0,71.12485191523808,12.2,33029.0,6176.0,1767.0,4964.785877575041,612734.0
48,Maize,Nakuru,Automated,Yes,4.65,26.8,2,501.0,39.28186428231076,36.1,73817.0,16554.0,9876.0,998.980716934028,288072.0
49,Horticulture,Uasin Gishu,Manual,Yes,2.02,14.7,0,967.0,60.111795654986636,10.5,41788.0,8371.0,3464.0,11446.525224250801,363258.0
